Condition,PESQ-NB,STOI,SI-SDR
Noisy,2.0496989154815672,0.8420231234065326,5.1322103
Butter 4kHz,2.051956582069397,0.8412577717388566,4.2080336
CRN v0,1.4169230914115907,0.7940091253633631,3.1131907
